Graph Ids,C2,C3,G\_N2V,G\_N2V*,G\_HOPE,G\_SDNE,G\_SDNE*,G\_SPEC,GUROBI OPTIMAL,GUROBI TIME
incgraph\_2\_0.06\_5\_30\_1.20\_1\_1,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207,1227
incgraph\_2\_0.06\_5\_30\_1.20\_2\_1,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310,0.61
incgraph\_2\_0.06\_5\_30\_1.20\_3\_1,314.0,314.0,314.0,314.0,314.0,314.0,314.0,314.0,310,899
incgraph\_2\_0.06\_5\_30\_1.20\_4\_1,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360,915
incgraph\_2\_0.06\_5\_30\_1.20\_5\_1,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33,123
incgraph\_2\_0.06\_5\_30\_1.20\_6\_1,415.0,415.0,415.13,415.03,415.0,415.0,415.0,415.0,415,991
incgraph\_2\_0.06\_5\_30\_1.20\_7\_1,363.0,363.0,363.0,363.0,363.0,363.0,363.0,363.0,363,1392
incgraph\_2\_0.06\_5\_30\_1.20\_8\_1,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104,279
incgraph\_2\_0.06\_5\_30\_1.20\_9\_1,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143,0.53
incgraph\_2\_0.06\_5\_30\_1.20\_10\_1,163.0,163.0,163.47,163.4,163.0,163.0,163.0,163.0,163,422
incgraph\_2\_0.06\_5\_30\_1.60\_1\_1,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289,1649
incgraph\_2\_0.06\_5\_30\_1.60\_2\_1,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373,2268
incgraph\_2\_0.06\_5\_30\_1.60\_3\_1,367.0,366.83,369.27,369.73,369.07,368.5,368.43,369.57,366,2639
incgraph\_2\_0.06\_5\_30\_1.60\_4\_1,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463,2095
incgraph\_2\_0.06\_5\_30\_1.60\_5\_1,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76,301
incgraph\_2\_0.06\_5\_30\_1.60\_6\_1,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740,3984
incgraph\_2\_0.06\_5\_30\_1.60\_7\_1,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585,3907
incgraph\_2\_0.06\_5\_30\_1.60\_8\_1,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144,592
incgraph\_2\_0.06\_5\_30\_1.60\_9\_1,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242,1391
incgraph\_2\_0.06\_5\_30\_1.60\_10\_1,242.0,242.0,242.0,242.0,242.0,242.0,242.03,242.0,242,1253
incgraph\_2\_0.17\_5\_30\_1.20\_1\_1,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145.0,1145,658
incgraph\_2\_0.17\_5\_30\_1.20\_2\_1,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980,844
incgraph\_2\_0.17\_5\_30\_1.20\_3\_1,1088.0,1088.0,1088.0,1088.0,1088.0,1088.0,1088.0,1088.0,1088,1279
incgraph\_2\_0.17\_5\_30\_1.20\_4\_1,2194.0,2194.0,2194.0,2194.0,2194.0,2194.0,2194.0,2194.0,2194,1298
incgraph\_2\_0.17\_5\_30\_1.20\_5\_1,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62,115
incgraph\_2\_0.17\_5\_30\_1.20\_6\_1,3136.0,3136.0,3136.0,3136.0,3136.0,3136.0,3136.0,3136.0,3136,1635
incgraph\_2\_0.17\_5\_30\_1.20\_7\_1,3198.0,3198.0,3198.0,3198.0,3198.0,3198.0,3198.0,3198.0,3198,2169
incgraph\_2\_0.17\_5\_30\_1.20\_8\_1,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351.0,351,288
incgraph\_2\_0.17\_5\_30\_1.20\_9\_1,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143,524
incgraph\_2\_0.17\_5\_30\_1.20\_10\_1,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469,679
incgraph\_2\_0.17\_5\_30\_1.60\_1\_1,1805.0,1805.17,1805.1,1805.13,1805.1,1805.03,1805.0,1805.1,1805,2109
incgraph\_2\_0.17\_5\_30\_1.60\_2\_1,1788.0,1788.03,1788.0,1788.0,1788.0,1788.0,1788.0,1788.0,1788,2625
incgraph\_2\_0.17\_5\_30\_1.60\_3\_1,1547.9,1547.33,1547.27,1547.47,1547.4,1547.3,1547.27,1547.47,1547,3.21
incgraph\_2\_0.17\_5\_30\_1.60\_4\_1,3427.0,3427.0,3427.0,3427.0,3427.13,3427.13,3427.0,3427.0,3427,4344
incgraph\_2\_0.17\_5\_30\_1.60\_5\_1,55.0,55.0,55.07,55.0,55.0,55.0,55.0,55.0,55,275
incgraph\_2\_0.17\_5\_30\_1.60\_6\_1,4838.63,4837.4,4837.97,4838.07,4838.63,4838.3,4838.03,4838.6,4837,5214
incgraph\_2\_0.17\_5\_30\_1.60\_7\_1,5535.0,5535.07,5535.0,5535.0,5535.0,5535.0,5535.07,5535.0,5535,5231
incgraph\_2\_0.17\_5\_30\_1.60\_8\_1,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663,821
incgraph\_2\_0.17\_5\_30\_1.60\_9\_1,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242,1434
incgraph\_2\_0.17\_5\_30\_1.60\_10\_1,706.0,706.0,706.07,706.07,706.53,706.53,706.4,707.27,706,1527
incgraph\_2\_0.30\_5\_30\_1.20\_1\_1,3386.0,3390.67,3386.0,3386.0,3386.93,3386.0,3386.0,3387.87,3386,1.44
incgraph\_2\_0.30\_5\_30\_1.20\_2\_1,3630.0,3630.0,3630.0,3630.0,3630.0,3630.0,3630.0,3630.0,3630,2004
incgraph\_2\_0.30\_5\_30\_1.20\_3\_1,3781.0,3781.0,3781.0,3781.0,3781.0,3781.0,3781.0,3781.0,3781,1762
incgraph\_2\_0.30\_5\_30\_1.20\_4\_1,6708.0,6708.0,6708.0,6708.0,6708.0,6708.0,6708.0,6708.0,6708,3122
incgraph\_2\_0.30\_5\_30\_1.20\_5\_1,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210,217
incgraph\_2\_0.30\_5\_30\_1.20\_6\_1,8711.0,8711.0,8711.0,8711.0,8711.0,8711.0,8711.0,8711.0,8711,3297
incgraph\_2\_0.30\_5\_30\_1.20\_7\_1,9918.0,9926.67,9918.0,9918.0,9918.0,9918.0,9918.0,9918.0,9918,4413
incgraph\_2\_0.30\_5\_30\_1.20\_8\_1,1364.0,1364.0,1364.0,1364.0,1364.0,1364.0,1364.0,1364.0,1364,833
incgraph\_2\_0.30\_5\_30\_1.20\_9\_1,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340,763
